smiles,pred_pIC50,novel,formula,MW,LogP,HBD,HBA,TPSA,RotBonds,HeavyAtoms,Fsp3,MR,Rings,AromaticRings,QED,Lipinski,LipViolations,Ghose,Veber,Egan,Muegge,LeadLike,ESOL_logS,Solubility,GI_absorption,BBB,Pgp_substrate,LogKp,CYP1A2_inhibitor,CYP2C9_inhibitor,CYP2C19_inhibitor,CYP2D6_inhibitor,CYP3A4_inhibitor,hERG,PAINS
Oc1ccc2c(c1)OCCC1=C2CCN(c2ccccc2)C(c2ccccc2O)C1,6.801,True,C26H25NO3,399.5,5.68,2,4,52.9,2,30,0.23,119.0,5,3,0.582,False,1,False,True,True,False,False,-6.2,Insoluble,High,True,False,-4.7,False,False,True,True,True,High,mannich_A(296)
OC1=CC=C(NCCF)C2=CN=C(c3ccc(Cl)cc3)SC2=C1,6.221,True,C17H14ClFN2OS,348.8,4.5,2,4,44.6,4,23,0.12,94.5,3,1,0.842,True,0,True,True,True,True,False,-4.77,Moderately Soluble,High,True,False,-5.23,False,False,True,True,False,High,
CCN1C=CN(CCOC2=CC=C(O)C=C3C(=O)N2Cc2ccc(O)cc2C3CO)CC1,7.077,True,C24H29N3O5,439.5,2.16,3,7,96.7,6,32,0.38,119.3,4,1,0.625,True,0,True,True,True,True,True,-3.67,Soluble,High,False,True,-7.45,False,False,True,True,False,Medium,
CCC1=C2c3ccc(O)cc3CCN2c2cccc(N)c2C1,6.801,True,C19H20N2O,292.4,3.71,2,3,49.5,1,22,0.26,90.9,4,2,0.788,True,0,True,True,True,True,True,-4.33,Moderately Soluble,High,True,False,-5.45,False,False,True,True,True,Medium,
COc1ccc2c(c1)cc(-c1ccc(O)cc1)n2Cc1cccc(N)n1,6.397,True,C21H19N3O2,345.4,4.05,2,4,73.3,4,26,0.1,103.3,4,4,0.585,True,0,True,True,True,True,False,-4.87,Moderately Soluble,High,False,False,-5.53,False,False,True,True,True,High,
O=C1CCN(Cc2ccc(O)cc2)C(c2ccccc2O)C(c2ccccc2)C1=O,6.108,True,C25H23NO4,401.5,3.97,2,5,77.8,4,30,0.2,113.2,4,3,0.647,True,0,True,True,True,True,True,-5.01,Moderately Soluble,High,False,True,-5.93,False,False,True,True,True,Medium,imine_one_A(321)
O=C1c2cc3c1ccc(O)c3ccc(O)ccc2N1CCCC1,6.107,True,C19H17NO3,307.3,3.52,2,4,60.8,1,23,0.21,89.8,4,2,0.722,True,0,True,True,True,True,True,-4.35,Moderately Soluble,High,True,False,-5.68,False,False,True,True,True,Medium,
CCC1=[SH]c2cc(O)ccc2OCC1c1ccc(O)cc1,6.44,True,C17H18O3S,302.4,3.68,3,3,49.7,2,21,0.24,87.0,3,2,0.586,True,0,True,True,True,True,True,-4.32,Moderately Soluble,High,True,False,-5.53,False,False,True,False,True,Low,thio_ketone(43)
CN1CCN(CCN2CCCC2)Oc2ccc(O)cc2CCN1c1ccc(O)cc1,6.561,True,C23H32N4O3,412.5,2.7,2,7,62.7,4,30,0.48,117.8,4,2,0.801,True,0,True,True,True,True,True,-4.13,Moderately Soluble,High,True,False,-6.9,False,False,True,True,False,Medium,
Oc1ccc2c(c1)CCN1CC2=CC=CC=CCC1c1ccco1,6.547,True,C21H21NO2,319.4,4.48,1,3,36.6,1,24,0.24,95.7,4,2,0.841,True,0,True,True,True,True,False,-4.92,Moderately Soluble,High,True,False,-5.07,True,False,True,True,True,High,
Cc1cc(O)ccc1C(=O)C1=CC=C(N2CCN(C)S2)c2ccccc2SC1,7.253,True,C22H22N2O2S2,410.6,4.77,1,6,43.8,3,28,0.23,117.3,4,2,0.581,True,0,True,True,True,True,False,-5.51,Moderately Soluble,High,True,False,-5.42,True,False,True,True,True,High,
O=C(C1=CC=C(N2C=CN(C=CO)CC2)CC1)c1ccc(O)cc1Cl,6.207,True,C19H19ClN2O3,358.8,3.95,2,5,64.0,4,25,0.21,97.2,3,1,0.63,True,0,True,True,True,True,True,-4.47,Moderately Soluble,High,True,False,-5.68,False,False,True,True,False,Medium,
CC(=O)C1CCN(C(O)c2ccc(O)cc2)C(c2ccccc2)C1=Cc1ccc(O)cc1,7.115,True,C27H27NO4,429.5,4.82,3,5,81.0,5,32,0.22,123.8,4,3,0.542,True,0,True,True,True,True,False,-5.63,Moderately Soluble,High,False,True,-5.5,False,False,True,True,True,High,
O=C1COC(c2ccccc2)C(c2ccccc2)C(Cc2ccc(O)cc2)C1,6.998,True,C25H24O3,372.5,5.07,1,3,46.5,4,28,0.24,109.2,4,3,0.696,False,1,True,True,True,False,False,-5.55,Moderately Soluble,High,True,False,-4.97,True,False,True,False,True,Low,
CCN1CCOc2cc(O)ccc2C1c1ccc(O)cc1C(=O)OCCO,6.227,True,C20H23NO6,373.4,2.05,3,7,99.5,5,27,0.35,98.2,3,2,0.69,True,0,True,True,True,True,True,-3.45,Soluble,High,False,False,-7.12,False,False,True,True,False,Medium,
CC1=Cc2cc(O)ccc2NC1c1ccc(OCCN2CCOCC2)cc1,6.479,True,C22H26N2O3,366.5,3.67,2,5,54.0,5,27,0.36,107.3,4,2,0.791,True,0,True,True,True,True,True,-4.43,Moderately Soluble,High,True,False,-5.93,False,False,True,True,True,Medium,
CCC12CC1=CC(O)=CC=C1CCOC(=O)c3cc(O)ccc3C12,6.471,True,C20H20O4,324.4,4.14,2,4,66.8,1,24,0.35,90.0,4,1,0.762,True,0,True,True,True,True,False,-4.58,Moderately Soluble,High,True,False,-5.34,False,False,True,False,False,Low,
Oc1ccc(C2c3ccc(O)cc3CCN2Cc2ccccc2Cl)cc1,7.257,True,C22H20ClNO2,365.9,4.9,2,3,43.7,3,26,0.18,103.6,4,3,0.693,True,0,True,True,True,True,False,-5.51,Moderately Soluble,High,True,False,-5.05,False,False,True,True,True,High,
O=C1c2ccc(CO)cc2CS(=O)c2cc(O)ccc21,6.841,True,C15H12O4S,288.3,1.74,2,4,74.6,1,20,0.13,74.0,3,2,0.838,True,0,True,True,True,True,True,-3.1,Soluble,High,False,False,-6.82,False,False,True,False,False,Low,
Cc1cnc2cc(-c3ccc(O)cc3)cc(Cl)nc1-2,6.482,True,C15H11ClN2O,270.7,3.92,1,3,46.0,1,19,0.07,75.5,3,1,0.729,True,0,False,True,True,True,True,-4.54,Moderately Soluble,High,True,False,-5.17,False,False,True,False,False,Low,
CCC1=C2c3ccc(O)cc3CC2(c2cccc(O)c2)C1C,6.968,True,C20H20O2,292.4,4.41,2,2,40.5,2,22,0.3,88.0,4,2,0.861,True,0,True,True,True,True,False,-4.7,Moderately Soluble,High,True,False,-4.95,False,False,True,False,True,Low,
OC1=CC=C(c2ccn(C3CCN(CCF)C3)c2)Oc2ccc(O)cc21,6.606,True,C20H21FN2O3,356.4,3.74,2,4,57.9,4,26,0.3,97.8,4,2,0.876,True,0,True,True,True,True,True,-4.46,Moderately Soluble,High,True,False,-5.82,False,False,True,True,True,Medium,
CCC1=C2c3ccc(O)cc3CCN2C(c2ccccc2)C(=O)c2ccc(O)cc21,7.417,True,C26H23NO3,397.5,5.17,2,4,60.8,2,30,0.19,117.2,5,3,0.626,False,1,True,True,True,False,False,-5.87,Moderately Soluble,High,True,False,-5.05,False,False,True,True,True,High,
O=c1c2cc3c(cc1-3)CN(c1ccc(O)cc1)C(O)=CC=C2c1ccccc1,6.911,True,C24H17NO3,367.4,4.58,2,4,60.8,2,28,0.04,110.2,5,2,0.544,True,0,True,True,True,True,False,-5.38,Moderately Soluble,High,True,False,-5.29,False,False,True,True,True,High,
CCC1=C2c3ccc(O)cc3CC2(c2ccccc2)C(Cl)c2ccc(O)cc21,7.807,True,C25H21ClO2,388.9,6.21,2,2,40.5,2,28,0.2,113.7,5,3,0.512,False,1,False,True,False,False,False,-6.5,Insoluble,High,False,False,-4.26,False,False,True,False,True,Low,
O=C(Cc1cccc(S)c1)c1ccc(O)cc1Cl,6.082,True,C14H11ClO2S,278.8,3.76,2,3,37.3,3,18,0.07,74.8,2,2,0.663,True,0,False,True,True,True,True,-4.23,Moderately Soluble,High,True,False,-5.33,False,False,True,False,True,Low,
CCC1=C2c3ccc(O)cc3CC2c2ccc(O)cc2C1CC(C)C,7.413,True,C23H26O2,334.5,5.74,2,2,40.5,3,25,0.39,102.1,4,2,0.751,False,1,False,True,True,False,False,-5.69,Moderately Soluble,High,True,False,-4.27,False,False,True,False,True,Low,
CN1CCOc2cc(O)ccc2C1c1ccc(O)cc1,6.079,True,C16H17NO3,271.3,2.51,2,4,52.9,1,20,0.25,76.2,3,2,0.837,True,0,True,True,True,True,True,-3.48,Soluble,High,True,False,-6.17,False,False,True,True,False,Medium,
Oc1ccc(Nc2cccnc2)c2cc3c(cc1)c(O)cccn2-3,6.422,True,C19H15N3O2,317.3,4.18,3,4,70.3,2,24,0.0,94.1,5,2,0.519,True,0,True,True,True,True,False,-4.96,Moderately Soluble,High,True,False,-5.27,False,False,True,True,True,High,
CCN1CCc2cc(O)ccc2N1CCc1ccc(N2CCOc3cccc(O)c32)cc1,7.308,True,C26H29N3O3,431.5,4.47,2,6,59.4,5,32,0.31,127.2,5,3,0.622,True,0,True,True,True,True,False,-5.42,Moderately Soluble,High,True,False,-5.76,False,False,True,True,True,High,
CCC1=C2c3ccc(O)cc3OCC2c2cccc(O)c2CCN1c1ccc(Cl)cc1,7.52,True,C26H24ClNO3,433.9,6.11,2,4,52.9,2,31,0.23,124.2,5,3,0.511,False,1,False,True,False,False,False,-6.68,Insoluble,High,False,False,-4.61,False,False,True,True,True,High,
CCC1=C2c3ccc(O)cc3CC2(Cc2ccccc2)CCOc2ccc(O)cc21,7.849,True,C27H26O3,398.5,5.99,2,3,49.7,3,30,0.26,119.7,5,3,0.57,False,1,False,True,False,False,False,-6.33,Insoluble,High,False,False,-4.48,False,False,True,False,True,Low,
CC1N=CCOc2cc(O)ccc2C1c1ccc(O)cc1,6.25,True,C17H17NO3,283.3,3.08,2,4,62.0,1,21,0.24,81.5,3,2,0.845,True,0,True,True,True,True,True,-3.89,Soluble,High,True,False,-5.84,False,False,True,True,True,Medium,
CCN1CC(c2ccccc2O)=C(c2ccc(O)cc2)C(c2ccc(O)cc2)C1,7.288,True,C25H25NO3,387.5,4.83,3,4,63.9,4,29,0.2,116.0,4,3,0.6,True,0,True,True,True,True,False,-5.48,Moderately Soluble,High,True,False,-5.23,False,False,True,True,True,High,
O=C1CCC(Cl)Cc2cc(O)ccc2C1c1ccc(O)cc1,6.799,True,C18H17ClO3,316.8,3.74,2,3,57.5,1,22,0.28,85.6,3,2,0.788,True,0,True,True,True,True,True,-4.5,Moderately Soluble,High,True,False,-5.58,False,False,True,False,True,Low,
Oc1ccc2c(-c3ccc(C4CN(CCCF)C4)nc3)ccc(O)c2c1,7.163,True,C21H21FN2O2,352.4,4.07,2,4,56.6,5,26,0.29,100.3,4,3,0.727,True,0,True,True,True,True,False,-4.72,Moderately Soluble,High,True,False,-5.56,False,False,True,True,True,High,
CCC1=C2c3ncc(O)cc3CC2(c2ccccc2)CCOc2cc(O)ccc21,7.16,True,C25H23NO3,385.5,5.09,2,4,62.6,2,29,0.24,113.0,5,3,0.645,False,1,True,True,True,False,False,-5.76,Moderately Soluble,High,True,False,-5.04,False,False,True,False,True,Low,
CN1CCN(c2ccc(Nc3ccc(O)cc4cncc3-4)cc2)C1,6.263,True,C19H20N4O,320.4,3.34,2,5,51.6,3,24,0.21,97.1,4,1,0.775,True,0,True,True,True,True,True,-4.23,Moderately Soluble,High,True,False,-5.88,False,False,True,True,False,Medium,anil_di_alk_A(478)
CCC1=C2c3ccc(O)cc3CC2(c2ccccc2)C(=O)c2c(O)ccc(O)c21,6.865,True,C25H20O4,384.4,4.81,3,4,77.8,2,29,0.16,111.1,5,3,0.554,True,0,True,True,True,True,False,-5.58,Moderately Soluble,High,False,False,-5.23,False,False,True,False,True,Low,
CCN1CCc2cc(O)ccc2C1c1ccc(O)cc1C(F)(F)F,6.99,True,C18H18F3NO2,337.3,4.08,2,3,43.7,2,24,0.33,84.0,3,2,0.868,True,0,True,True,True,True,False,-4.74,Moderately Soluble,High,True,False,-5.46,False,False,True,True,True,High,
O=C1CCN2CCc3cc(O)ccc3[SH]2C(c2ccccc2)C(=O)C1,6.03,True,C20H21NO3S,355.5,3.2,2,4,57.6,1,25,0.3,99.1,4,2,0.609,True,0,True,True,True,True,True,-4.35,Moderately Soluble,High,True,False,-6.2,False,False,True,True,True,Medium,
CCC1=C2c3ccc(O)cc3SCC2(Cc2ccccc2)C(c2ccccc2)OC1,7.463,True,C27H26O2S,414.6,6.66,1,3,29.5,4,30,0.26,123.8,5,3,0.517,False,1,False,True,False,False,False,-6.79,Insoluble,High,False,False,-4.1,True,False,True,False,True,Low,
CC(C)N1CCc2cc(O)ccc2C1c1ccc(O)c(Br)c1,7.193,True,C18H20BrNO2,362.3,4.22,2,3,43.7,2,22,0.33,91.3,3,2,0.841,True,0,True,True,True,True,False,-5.01,Moderately Soluble,High,True,False,-5.51,False,False,True,True,True,High,
CC1=CSCC(=O)N2CCc3cc(O)ccc3C2=C1c1ccc(O)cc1,7.047,True,C21H19NO3S,365.5,4.0,2,4,60.8,1,26,0.19,104.7,4,2,0.802,True,0,True,True,True,True,True,-4.9,Moderately Soluble,High,True,False,-5.69,False,False,True,False,True,Low,
CC(=O)C1=CNc2cc(O)ccc2C1c1ccc(OCCN2CCC2)cc1,6.596,True,C22H24N2O3,364.4,3.51,2,5,61.8,6,27,0.32,105.3,4,2,0.821,True,0,True,True,True,True,True,-4.24,Moderately Soluble,High,True,False,-6.03,False,False,True,True,True,Medium,
O=C1CCN(C(F)c2ccc(O)cc2)C1c1ccc(OCCN2CCOC2)cc1,6.84,True,C22H25FN2O4,400.5,3.04,1,6,62.2,7,29,0.41,105.4,4,2,0.721,True,0,True,True,True,True,True,-4.09,Moderately Soluble,High,True,False,-6.58,True,False,True,True,True,Medium,
CCN1CCc2cc(O)ccc2C1C1=CC=C(O)CC(=O)Oc2ccc(O)cc21,6.274,True,C23H23NO5,393.4,3.85,3,6,90.2,2,29,0.26,108.8,4,2,0.53,True,0,True,True,True,True,True,-4.88,Moderately Soluble,High,False,False,-5.97,False,False,True,True,True,Medium,
CCC12CNc3cc(O)ccc3C1(Cc1ccccc1)CCO2,6.827,True,C20H23NO2,309.4,3.87,2,3,41.5,3,23,0.4,92.0,4,2,0.904,True,0,True,True,True,True,True,-4.38,Moderately Soluble,High,True,False,-5.44,False,False,True,True,True,Medium,
Oc1ccc2c(c1)C=C(c1ccc(O)c(Cl)c1)CCO2,6.419,True,C16H13ClO3,288.7,4.07,2,3,49.7,1,20,0.12,79.2,3,2,0.831,True,0,True,True,True,True,False,-4.57,Moderately Soluble,High,True,False,-5.17,False,False,True,False,True,Low,
CCN1CCN(C2=CC=C(C(=O)c3ccc(O)cc3Cl)Oc3ccccc32)C1,6.286,True,C22H21ClN2O3,396.9,4.14,1,5,53.0,4,28,0.23,109.4,4,2,0.787,True,0,True,True,True,True,False,-4.96,Moderately Soluble,High,True,False,-5.78,True,False,True,True,True,High,
CCCC(c1ccc(O)cc1C)c1ccc(O)cc1CCN1CCOc2ccccc21,7.369,True,C27H31NO3,417.5,5.78,2,4,52.9,7,31,0.33,125.6,4,3,0.512,False,1,False,True,True,False,False,-6.04,Insoluble,High,True,False,-4.74,False,False,True,True,True,High,
OC1=C(c2ccc(O)cc2)C(c2ccccc2)CCOc2ccc(O)cc21,7.289,True,C23H20O4,360.4,5.09,3,4,69.9,2,27,0.13,105.0,4,3,0.595,False,1,True,True,True,False,False,-5.64,Moderately Soluble,High,True,False,-4.88,False,False,True,False,True,Low,
CC1=CCN2CCOC2=CC(O)=CC=C2c3c(ccc(O)c3C)CCN12,6.038,True,C21H24N2O3,352.4,3.43,2,5,56.2,0,26,0.33,101.3,4,1,0.749,True,0,True,True,True,True,True,-4.36,Moderately Soluble,High,True,False,-6.01,False,False,True,True,False,Medium,
CCC1=C2c3ccc(O)cc3CC2(Cc2cccc(O)c2)CC1,7.205,True,C21H22O2,306.4,4.84,2,2,40.5,3,23,0.33,92.5,4,2,0.852,True,0,True,True,True,True,False,-4.98,Moderately Soluble,High,True,False,-4.73,False,False,True,False,True,Low,
O=C(c1ccccc1)N1CCc2cc(O)ccc2C1c1ccc(OCCN2CCOCC2)cc1,6.982,True,C28H30N2O4,458.6,3.89,1,5,62.2,6,34,0.32,130.3,5,3,0.607,True,0,False,True,True,True,False,-5.13,Moderately Soluble,High,True,False,-6.34,True,False,True,True,True,Medium,
Oc1ccc(C2c3ccc(O)cc3C2Cc2cccnc2)cc1,6.673,True,C20H17NO2,303.4,3.96,2,3,53.4,3,23,0.15,88.7,4,3,0.77,True,0,True,True,True,True,True,-4.6,Moderately Soluble,High,True,False,-5.34,False,False,True,False,True,Low,
CCC12C=c3cc(O)ccc3=C1C1CS(=O)C=CC=CC=C12,6.449,True,C19H18O2S,310.4,2.12,1,2,37.3,1,22,0.26,90.8,4,1,0.863,True,0,True,True,True,True,True,-3.24,Soluble,High,True,False,-6.69,False,False,True,False,False,Low,
CC1=C2CC(c3ccc(O)cc3C1CO)C2COc1ccc(O)cc1,6.584,True,C21H22O4,338.4,3.69,3,4,69.9,4,25,0.33,95.1,4,2,0.744,True,0,True,True,True,True,True,-4.35,Moderately Soluble,High,True,False,-5.74,False,False,True,False,True,Low,
CCC12Cc3cc(O)ccc3C1(Cc1ccccc1)CCN2,6.572,True,C20H23NO,293.4,3.57,2,2,32.3,3,22,0.4,89.3,4,2,0.906,True,0,True,True,True,True,True,-4.11,Moderately Soluble,High,True,False,-5.56,False,False,True,True,True,Medium,
CC(C)N1CCc2cc(O)ccc2C1c1ccc(O)cc1CSN,6.693,True,C19H24N2O2S,344.5,3.56,3,5,69.7,4,24,0.37,99.1,3,2,0.74,True,0,True,True,True,True,True,-4.32,Moderately Soluble,High,True,False,-5.87,False,False,True,True,True,Medium,
CC(=O)C1CN(c2ccc(O)cc2)C(c2ccccc2)C1=Cc1ccc(O)cc1,6.673,True,C25H23NO3,385.5,4.95,2,4,60.8,4,29,0.16,114.9,4,3,0.667,True,0,True,True,True,True,False,-5.54,Moderately Soluble,High,True,False,-5.14,False,False,True,True,True,High,
Oc1ccc(-c2cc(F)cc(-c3ccc(O)cn3)c2)cc1,6.692,True,C17H12FNO2,281.3,3.97,2,3,53.4,2,21,0.0,78.4,3,3,0.747,True,0,True,True,True,True,True,-4.58,Moderately Soluble,High,True,False,-5.2,False,False,True,False,True,Low,
CCc1cc2cc(O)ccc2n1CCc1ccc(O)c(Br)c1,7.061,True,C18H18BrNO2,360.3,4.62,2,2,45.4,4,22,0.22,92.5,3,3,0.713,True,0,True,True,True,True,False,-5.22,Moderately Soluble,High,True,False,-5.22,False,False,True,False,True,Low,
CCN1CC(c2ccc(O)cc2)=C(c2ccccc2O)C(=O)c2cc(O)ccc21,6.778,True,C24H21NO4,387.4,4.44,3,5,81.0,3,29,0.12,113.4,4,3,0.619,True,0,True,True,True,True,False,-5.3,Moderately Soluble,High,False,False,-5.51,False,False,True,True,True,High,
OC1=CC=C2C3=CN=CC3=CCCC3C1=CC=CSC=C23,6.418,True,C18H15NOS,293.4,4.74,1,3,32.6,0,21,0.17,89.1,4,0,0.699,True,0,True,True,True,True,False,-4.65,Moderately Soluble,High,True,False,-4.72,False,False,False,False,False,High,
CC1=CN(C)CCN1C1=CC=C(C(=O)c2ccc(O)cc2Cl)CC1,6.261,True,C19H21ClN2O2,344.8,3.94,1,4,43.8,3,24,0.32,95.9,3,1,0.843,True,0,True,True,True,True,True,-4.45,Moderately Soluble,High,True,False,-5.61,False,False,True,True,False,Medium,
Oc1ccc2c(c1)C(c1cccc(OCCN3CCOCC3)c1)C2,6.218,True,C20H23NO3,325.4,2.79,1,4,41.9,5,24,0.4,92.8,4,2,0.918,True,0,True,True,True,True,True,-3.66,Soluble,High,True,False,-6.3,True,False,True,True,False,Medium,
Cc1cc(O)ccc1-c1cnc(Br)c(Cl)c1,6.287,True,C12H9BrClNO,298.6,4.18,1,2,33.1,1,16,0.08,68.8,2,2,0.801,True,0,False,True,True,True,False,-4.81,Moderately Soluble,High,True,False,-5.15,True,False,True,False,True,Low,
CC(=O)C1Cc2cc(O)ccc2C1c1ccc(OCCN2CCCO2)cc1,6.416,True,C22H25NO4,367.4,3.3,1,5,59.0,6,27,0.41,101.9,4,2,0.849,True,0,True,True,True,True,True,-4.13,Moderately Soluble,High,True,False,-6.2,True,False,True,True,True,Medium,
Oc1ccc2c(c1)OCCC1=C2CCOc2ccc(O)cc21,6.572,True,C18H16O4,296.3,3.57,2,4,58.9,0,22,0.22,83.3,4,2,0.78,True,0,True,True,True,True,True,-4.33,Moderately Soluble,High,True,False,-5.57,False,False,True,False,True,Low,
CC1c2cc(O)ccc2SC1c1ccc(O)cc1,6.812,True,C15H14O2S,258.3,4.05,2,3,40.5,1,18,0.2,73.2,3,2,0.81,True,0,False,True,True,True,False,-4.42,Moderately Soluble,High,True,False,-5.0,False,False,True,False,True,Low,
CCN1CCOc2cc(O)ccc2C1c1ccc(O)cc1C(=O)O,6.069,True,C18H19NO5,329.4,2.6,3,5,90.2,3,24,0.28,87.8,3,2,0.802,True,0,True,True,True,True,True,-3.69,Soluble,High,False,False,-6.46,False,True,True,True,False,Medium,
CCC1=C2c3ccc(O)cc3SC2(c2cccc(O)c2)C(=O)C1,6.743,True,C19H16O3S,324.4,4.24,2,4,57.5,2,23,0.21,90.6,4,2,0.868,True,0,True,True,True,True,False,-4.77,Moderately Soluble,High,True,False,-5.27,False,False,True,False,True,Low,
CN1C=CN(C2=CC=C(C(=O)c3ccc(O)cc3F)CCC2)CC1,6.249,True,C19H21FN2O2,328.4,3.43,1,4,43.8,3,24,0.32,90.9,3,1,0.864,True,0,True,True,True,True,True,-4.02,Moderately Soluble,High,True,False,-5.87,False,False,True,True,False,Medium,
ON=Cc1ccc(-c2c(-c3ccc(O)cc3)sc3cc(F)ccc23)cc1,6.885,True,C21H14FNO2S,363.4,5.89,2,4,52.8,3,26,0.0,103.7,4,4,0.271,False,1,False,True,False,False,False,-6.2,Insoluble,High,False,False,-4.33,False,False,True,True,True,High,
CCC12CCc3cc(O)ccc3OC1(Cc1ccccc1)CC2,7.319,True,C21H24O2,308.4,4.89,1,2,29.5,3,23,0.43,91.9,4,2,0.875,True,0,True,True,True,True,False,-5.02,Moderately Soluble,High,True,False,-4.71,True,False,True,False,True,Low,
OC1=CC=C(c2cnc(Cl)cn2)C(Cc2ccccc2)=CS1,6.018,True,C17H13ClN2OS,328.8,4.79,1,4,46.0,3,22,0.06,91.6,3,2,0.88,True,0,True,True,True,True,False,-5.1,Moderately Soluble,High,True,False,-4.9,True,False,True,False,True,Low,
CCN1CCc2cc(O)ccc2C1c1ccc(OC(=O)O)cc1Cl,6.804,True,C18H18ClNO4,347.8,4.07,2,4,70.0,3,24,0.28,91.0,3,2,0.647,True,0,True,True,True,True,False,-4.73,Moderately Soluble,High,True,False,-5.53,False,True,True,True,True,High,
CCN1CCN2CCOc3cc(O)ccc3N=C2C1c1ccc(O)cc1,6.003,True,C20H23N3O3,353.4,2.9,2,6,68.5,2,26,0.35,100.4,4,2,0.869,True,0,True,True,True,True,True,-4.07,Moderately Soluble,High,True,False,-6.4,False,False,True,True,False,Medium,
CCC1=C2c3ccc(O)cc3OCC2c2cccc(N)c2C1CC,7.221,True,C21H23NO2,321.4,4.82,2,3,55.5,2,24,0.33,97.4,4,2,0.78,True,0,True,True,True,True,False,-5.11,Moderately Soluble,High,True,False,-4.84,False,False,True,True,True,High,
OCC1CN(Cc2ccc(O)cc2)C(c2ccccc2)C1c1ccc(O)cc1,6.677,True,C24H25NO3,375.5,4.05,3,4,63.9,5,28,0.25,109.1,4,3,0.63,True,0,True,True,True,True,False,-4.86,Moderately Soluble,High,True,False,-5.72,False,False,True,True,True,High,
CCC1=C2c3ccc(O)cc3SCC2(Cc2ccccc2)CSc2cc(O)ccc21,7.511,True,C26H24O2S2,432.6,6.86,2,4,40.5,3,30,0.23,127.3,5,3,0.474,False,1,False,True,False,False,False,-7.09,Insoluble,High,False,False,-4.07,False,False,True,False,True,Low,
CCC1(Cc2ccc(O)cc2)c2cc(O)ccc2OC1c1ccc(OCCN2CCOC2)cc1,9.092,True,C28H31NO5,461.6,4.79,2,6,71.4,8,34,0.36,129.6,5,3,0.503,True,0,True,True,True,True,False,-5.58,Moderately Soluble,High,True,False,-5.71,False,False,True,True,True,High,
